Variable,Variable Number,Topic,Topic Number,Subtopic,Subtopic Number,Survey Years,Availability,Description,Table Name,Type,Edit Flag Variable,Imputation Strategy,Response Codes,Question Text,Instrument Variable Name(s),Disclosure,Conditions in Universe,User Notes
HMRACCESS,3,Home Improvement,10,General,1,"2019 National, 2019 Metro",PUF,Flag indicating home improvements done to make home more accessible for elderly or disabled in last two years,HOUSEHOLD,Character,JHMRACCESS,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,"Did you do any of these home improvements to make your home more accessible for people with physical limitations, such as people using a wheelchair or a walker?",HMRACCESS,None,INTSTATUS = '1' and TENURE = '1' and REMODJOBS > 0,
HMRENEFF,4,Home Improvement,10,General,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating home improvements done to make home more energy efficient in last two years,HOUSEHOLD,Character,JHMRENEFF,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,Did you do any of these home improvements to improve energy efficiency?,HMRENEFF,None,INTSTATUS = '1' and TENURE = '1' and REMODJOBS > 0,
HMRSALE,5,Home Improvement,10,General,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating home improvements done to get house ready for sale in last two years,HOUSEHOLD,Character,JHMRSALE,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,Did you do any of these home improvements to get your house ready for sale?,HMRSALE,None,INTSTATUS = '1' and TENURE = '1' and REMODJOBS > 0,
MAINTAMT,6,Home Improvement,10,General,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Amount of annual routine maintenance costs,HOUSEHOLD,Numeric,JMAINTAMT,Coming soon,"0 : 9997: $0 to $9,997||9998: $9,998 or more||M or -9: Not reported||N or -6: Not applicable","In a TYPICAL YEAR, about how much does your household spend for routine repairs and maintenance, such as painting, plumbing, roofing, or other minor repairs?",CSTMNT,Noise,INTSTATUS = '1' and TENURE = '1',
JOBTYPE,1,Home Improvement,10,Job Specific,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Type of home improvement job,PROJECT,Character,JJOBTYPE,Coming soon,"01: Earthquake damage required extensive repairs to home||02: Tornado, hurricane, etc. damage required extensive repairs to home||03: Landslide damage required extensive repairs to home||04: Lightning or fire damage required extensive repairs to home||05: Flood damage required extensive repairs to home||06: Other natural disaster damage required extensive repairs to home||07: Added bedroom onto home||08: Added bathroom onto home||09: Added recreation room onto home||10: Added kitchen onto home||11: Added other inside room onto home||12: Bathroom remodeled||13: Kitchen remodeled||14: Attached garage or carport added to home||15: Porch, deck, patio, or terrace added to home||16: Added / replaced roof over entire home||17: Added / replaced siding on home||18: Added / replaced doors or windows in home||19: Added / replaced chimney, stairs or other exterior addition||20: Added / replaced insulation in home||21: Added / replaced internal water pipes in home||22: Added / replaced plumbing fixtures in home||23: Added / replaced electrical wiring, fuse boxes, or breaker switches in home||24: Added / replaced security system in home||25: Added / replaced carpeting, flooring, paneling, or ceiling tiles||26: Added / replaced central air conditioning||27: Added / replaced built-in heating equipment||28: Added / replaced septic tank||29: Added / replaced water heater||30: Added / replaced built-in dishwasher or garbage disposal||31: Other major improvements or repairs inside home (up to three could be reported)||32: Added / replaced driveways or walkways||33: Added / replaced fencing or walls||34: Added / replaced swimming pool, tennis court, or other recreational structure||35: Added / replaced shed, detached garage, or other building||36: Added / replaced landscaping or sprinkler system||37: Other major improvements or repairs to lot or yard (up to three could be reported)","In the last two years, have you added or replaced XXXX / did you remodel any XXXX?",See User Notes,None,INTSTATUS = '1' and TENURE = '1',"AHS collects home improvement jobs that were underway in the 24 months prior to the time of interview. Special procedures are in place to eliminate the double counting of jobs in multiple survey years. In the Question Text, XXXX indicates the type of home improvement job. For example, In the last two years, have you added or replaced a SHED?"
JOBDIY,2,Home Improvement,10,Job Specific,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating job was do-it-yourself,PROJECT,Character,JJOBDIY,Coming soon,1: Yes||2: No,Did someone in your household do most of the work?,XXXXWK,None,INTSTATUS = '1' and TENURE = '1',"XXXX represents the type of job (for example, FENCEWK)"
JOBCOST,3,Home Improvement,10,Job Specific,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Cost of home improvement job,PROJECT,Numeric,JJOBCOST,Coming soon,"0 : 999997: $0 to $999,997||999998: $999,998 or more","How much did the entire XXXX job cost, including your costs and any amount covered by insurance, not counting your time?",XXXXAM,Rounded/Topcoded,INTSTATUS = '1' and TENURE = '1',"XXXX represents the type of job (for example, FENCEAM)"
JOBFUNDS,4,Home Improvement,10,Job Specific,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Main source of funding for home improvement job,PROJECT,Character,JJOBFUNDS,Coming soon,1: Cash from savings||2: Cash from refinancing home||3: A home equity loan||4: Homeowner's insurance settlement||5: Credit card or retail store charge card||6: Contractor arranged financing||7: Other||M or -9: Not reported,What was the main source of funding for this job?,XXXXFIN,None,INTSTATUS = '1' and TENURE = '1',"XXXX represents the type of job (for example, FENCEFIN)"
JOBCOMP,5,Home Improvement,10,Job Specific,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Flag indicating if the home improvement job is complete,PROJECT,Character,JJOBCOMP,Coming soon,1: Yes||2: No||M or -9: Not reported,Is this job complete?,XXXXCMP,None,INTSTATUS = '1' and TENURE = '1',"XXXX represents the type of job (for example, FENCECMP)"
JOBCOMPYR,6,Home Improvement,10,Job Specific,2,"2019 National, 2019 Metro",PUF,Year home improvement job was completed,PROJECT,Character,JJOBCOMPYR,Coming soon,1: 2017||2: 2018||3: 2019||M or -9: Not reported||N or -6: Not applicable,"Was it completed in ____, ____, or ____.",XXXXYR,None,INTSTATUS = '1' and TENURE = '1' and JOBCOMP = '1',"In the Response Codes, 20XX is the year the survey was conducted. For example, in the 2017 survey, Response Code 1 = (20XX - 2) = (2017 - 2) = 2015. In the Instrument Variable Name, XXXXYR, XXXX indicates the type of home improvement job."
JOBWORKYR,7,Home Improvement,10,Job Specific,2,"2019 National, 2019 Metro",PUF,Year that the majority of home improvement expenses were incurred for this job,PROJECT,Character,JJOBWORKYR,Coming soon,1: 2017||2: 2018||3: 2019||M or -9: Not reported||N or -6: Not applicable,When did you incur the majority of your expenses for this project?,XXXXYRCST,None,INTSTATUS = '1' and TENURE = '1' and JOBCOMP <> '1',"XXXX represents the type of job (for example, FENCEYRCST)"
DISRPFEMA,1,Home Improvement,10,Houston Aid,3,"2019 National, 2019 Metro",PUF,Flag indicating Houston unit received financial help from government agency to help with clean-up or repairs,HOUSEHOLD,Character,JDISRPFEMA,Coming soon,1: Yes||2: No||M: Not reported||N: Not applicable,Did you receive any financial help from FEMA (the Federal Emergency Management Agency) or another government agency to help with clean-up or repairs?,DISRPFEMA,None,INTSTATUS = '1' and TENURE = '1' and OMB13CBSA = '26420',
DISRPCOM,2,Home Improvement,10,Houston Aid,3,"2019 National, 2019 Metro",PUF,Flag indicating Houston unit received financial help from a community organization to help with clean-up or repairs,HOUSEHOLD,Character,JDISRPCOM,Coming soon,1: Yes||2: No||M: Not reported||N: Not applicable,"Did you receive any financial help from a community organization, such as the Red Cross or a church, to help with clean-up or repairs?",DISRPCOM,None,INTSTATUS = '1' and TENURE = '1' and OMB13CBSA = '26420',
SUBDIV,1,Neighborhood Features,11,General,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro",PUF,Flag indicating house is part of a subdivision or housing development,HOUSEHOLD,Character,JSUBDIV,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,Is your home part of a subdivision or housing development?,SUBDIV,Withheld,INTSTATUS = '1' and BLD in ('02' '03'),
GATED,2,Neighborhood Features,11,General,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro",IUF Only,Flag indicating housing is gated or surrounded by walls or fences to prevent access by persons other than residents,HOUSEHOLD,Character,JGATED,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,Is your community gated or surrounded by walls or fences to prevent access by persons other than residents?,GATED2,Withheld,INTSTATUS = '1' and ((SUBDIV = '1') or (BLD in ('04' '05' '06' '07' '08' '09')) or (TPARK > 1)),"Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years."
AGERES,3,Neighborhood Features,11,General,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro",IUF Only,Flag indicating community is age restricted,HOUSEHOLD,Character,JAGERES,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,Is your community age restricted?,AGERES,Withheld,INTSTATUS = '1' and (COUNT(AGE >= 55) > 0) and ((BLD in ('02' '03') and SUBDIV = 1) or (BLD in ('04' '05' '06' '07' '08' '09')) or (BLD = '01' and TPARK > 1)),
NORC,4,Neighborhood Features,11,General,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro",PUF,Flag indicating respondent thinks the majority of neighbors 55 or older,HOUSEHOLD,Character,JNORC,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,Sometimes communities that are not age-restricted still attract certain age groups. Do you think the majority of your neighbors are 55 or over?,NORC,None,INTSTATUS = '1' and AGERES in ('2' 'M'),"Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years."
TPARK,5,Neighborhood Features,11,General,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",IUF Only,Number of mobile homes in group,HOUSEHOLD,Numeric,JTPARK,Coming soon,1 : 996: 1 to 996 mobile homes||997: 997 or more mobile homes||N or -6: Not applicable,See User Notes,TPARKB,Withheld,INTSTATUS in ('1' '2' '3') and BLD = '01',"A respondent is asked TPARKA (Is your manufactured/mobile home included in a group of 2 or more?). If the respondent replies yes, TPARKB is asked (How many, including your manufactured/mobile home, are in the group?)."
NEARWATER,1,Neighborhood Features,11,Nearby Features,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro",IUF Only,Flag indicating bodies of water within 1/2 block of unit,HOUSEHOLD,Character,JNEARWATER,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,"Are there any bodies of water, such as ponds, lakes, rivers, or the ocean within a half block of this unit?",EWATER,Withheld,INTSTATUS = '1',"Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years."
WATFRONT,2,Neighborhood Features,11,Nearby Features,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro",IUF Only,Flag indicating unit is waterfront,HOUSEHOLD,Character,JWATFRONT,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,Would you call your unit waterfront property?,WFPROP,Withheld,INTSTATUS = '1' and NEARWATER = '1',"Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years."
NEARSFD,3,Neighborhood Features,11,Nearby Features,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro",IUF Only,Flag indicating there are single-family detached homes within 1/2 block of this housing unit,HOUSEHOLD,Character,JNEARSFD,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,"Thinking about the other buildings within a half block from your unit, are there any __ (Mark all that apply)",OTHRBLD,Withheld,INTSTATUS = '1',"Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years."
NEARSFA,4,Neighborhood Features,11,Nearby Features,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro",IUF Only,Flag indicating there are single-family townhouses or row houses within 1/2 block of this housing unit,HOUSEHOLD,Character,JNEARSFA,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,"Thinking about the other buildings within a half block from your unit, are there any __ (Mark all that apply)",OTHRBLD,Withheld,INTSTATUS = '1',"Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years."
NEARMF,5,Neighborhood Features,11,Nearby Features,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro",IUF Only,Flag indicating there are apartment buildings within 1/2 block of this housing unit,HOUSEHOLD,Character,JNEARMF,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,"Thinking about the other buildings within a half block from your unit, are there any __ Mark all that apply)",OTHRBLD,Withheld,INTSTATUS = '1',"Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years."
NEARMH,6,Neighborhood Features,11,Nearby Features,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro",IUF Only,Flag indicating there are manufactured / mobile homes within 1/2 block of this housing unit,HOUSEHOLD,Character,JNEARMH,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,"Thinking about the other buildings within a half block from your unit, are there any __ (Mark all that apply)",OTHRBLD,Withheld,INTSTATUS = '1',"Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years."
NEARBUSIN,7,Neighborhood Features,11,Nearby Features,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro",IUF Only,Flag indicating there are businesses or institutions within 1/2 block of this housing unit,HOUSEHOLD,Character,JNEARBUSIN,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,"Are there any businesses or institutions, such as stores, restaurants, schools, or hospitals within a half block of this unit?",ECOM1,Withheld,INTSTATUS = '1',"Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years."
NEARFACT,8,Neighborhood Features,11,Nearby Features,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro",IUF Only,Flag indicating there are factories or other industrial structures within 1/2 block of this housing unit,HOUSEHOLD,Character,JNEARFACT,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,How about any factories or other industrial structures?,ECOM2,Withheld,INTSTATUS = '1',"Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years."
NEARBARCL,9,Neighborhood Features,11,Nearby Features,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro",PUF,Number of buildings with bars on windows within 1/2 block of this housing unit,HOUSEHOLD,Character,JNEARBARCL,Coming soon,1: Not more than one building with metal bars||2: More than one building with metal bars||3: No buildings with metal bars||M or -9: Not reported||N or -6: Not applicable,See User Notes,EBARCL1,None,INTSTATUS = '1',"NEARBARCL is determined using EBARCL1 (Now, thinking of ALL of the buildings that are within half a block of your unit, do any of these buildings have metal bars on their windows?) and EBARCL2 (Is there more than one building with metal bars on the windows?). Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years."
NEARABAND,10,Neighborhood Features,11,Nearby Features,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro",PUF,Number of buildings that are abandoned or vandalized within 1/2 block of this housing unit,HOUSEHOLD,Character,JNEARABAND,Coming soon,1: Not more than one vandalized or abandoned building||2: More than one vandalized or abandoned building||3: There are no vandalized or abandoned buildings||4: No buildings nearby||M or -9: Not reported||N or -6: Not applicable,See User Notes,EABAN1,None,INTSTATUS = '1',"NEARABAND is determined using EABAN1 (Are there any vandalized or abandoned buildings within half a block of this unit?) and EABAN2 ( Is there more than one vandalized or abandoned building?). Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years."
NEARTRASH,11,Neighborhood Features,11,Nearby Features,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro",PUF,"Frequency of trash, litter, or junk in streets, lots, or properties within 1/2 block of this housing unit",HOUSEHOLD,Character,JNEARTRASH,Coming soon,1: Large amount of trash||2: Small amount of trash||3: No trash||M or -9: Not reported||N or -6: Not applicable,See User Notes,EJUNK1,None,INTSTATUS = '1',"NEARTRASH is determined using EJUNK1 (Is there trash, litter or junk in the streets, roads, empty lots or on any properties within half a block of this unit?) and EJUNK2( Is there a small amount or a large amount of trash, litter or junk?). Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years."
RATINGHS,1,Neighborhood Features,11,Ratings,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro",PUF,Rating of unit as a place to live,HOUSEHOLD,Numeric,JRATINGHS,Coming soon,1 : 10: 1 to 10||M or -9: Not reported||N or -6: Not applicable,"On a scale of 1 to 10, how would you rate your unit as a place to live?",HOWH,None,INTSTATUS = '1',
RATINGNH,2,Neighborhood Features,11,Ratings,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro",PUF,Rating of neighborhood as place to live,HOUSEHOLD,Numeric,JRATINGNH,Coming soon,1 : 10: 1 to 10||M or -9: Not reported||N or -6: Not applicable,How would you rate your neighborhood on a scale of 1-10?,HOWN,None,INTSTATUS = '1',
NHQSCHOOL,3,Neighborhood Features,11,Ratings,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro",PUF,Agree or disagree: this neighborhood has good schools,HOUSEHOLD,Character,JNHQSCHOOL,Coming soon,1: Agree||2: Disagree||M or -9: Not reported||N or -6: Not applicable,Do you agree or disagree with the following statement: This neighborhood has good schools.,NHQSCHOOL,None,INTSTATUS = '1',"Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years."
NHQPCRIME,4,Neighborhood Features,11,Ratings,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro",PUF,Agree or disagree: this neighborhood has a lot of petty crime,HOUSEHOLD,Character,JNHQPCRIME,Coming soon,1: Agree||2: Disagree||M or -9: Not reported||N or -6: Not applicable,Do you agree or disagree with the following statement: This neighborhood has a lot of petty crime.,NHQSCHOOL,None,INTSTATUS = '1',"Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years."
NHQSCRIME,5,Neighborhood Features,11,Ratings,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro",PUF,Agree or disagree: this neighborhood has a lot of serious crime,HOUSEHOLD,Character,JNHQSCRIME,Coming soon,1: Agree||2: Disagree||M or -9: Not reported||N or -6: Not applicable,Do you agree or disagree with the following statement: This neighborhood has a lot of serious crime.,NHQPCRIME,None,INTSTATUS = '1',"Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years."
NHQPUBTRN,6,Neighborhood Features,11,Ratings,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro",PUF,"Agree or disagree: this neighborhood has good bus, subway, or commuter train service",HOUSEHOLD,Character,JNHQPUBTRN,Coming soon,1: Agree||2: Disagree||M or -9: Not reported||N or -6: Not applicable,"Do you agree or disagree with the following statement: This neighborhood has good bus, subway, or commuter train service.",NHQPUBTRAN,None,INTSTATUS = '1',"Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years."
NHQRISK,7,Neighborhood Features,11,Ratings,3,"2019 National, 2019 Metro, 2017 National, 2017 Metro",PUF,Agree or disagree: this neighborhood is at high risk for floods or other disasters,HOUSEHOLD,Character,JNHQRISK,Coming soon,1: Agree||2: Disagree||M or -9: Not reported||N or -6: Not applicable,Do you agree or disagree with the following statement: This neighborhood is at high risk for floods or other disasters.,NHQRISK,None,INTSTATUS = '1',"Beginning with 2017, URE (INTSTATUS 2) and vacant (INTSTATUS 3) interviews are not asked this question. Use caution when comparing 2017 to prior years."
MOVFORCE,1,Recent Movers,12,Reason for Moving,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,"Flag indicating respondent, who moved in last two years, was forced to move by landlord, bank, government, or disaster",HOUSEHOLD,Character,JMOVFORCE,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,See User Notes,See User Notes,None,INTSTATUS = '1' and ((([year of survey] - 2) < MOVE) or ((([year of survey] - 2) = MOVE) and [month of survey] <= MOVM)) and RESPONDENT = '1',"In 2015 only one question was asked (MOVFORCE - Were you forced to move by a landlord, a bank or other financial institution, the government, or because of a disaster or fire?). In 2017 and later, the single MOVFORCE item was replaced with two items: MOVFORCE2 (Were you forced to move by a landlord, a bank or other financial institution, or the government?) and MOVDISAS (Were you forced to move because of a disaster or fire?). Also see MOVWHY."
MOVWHY,2,Recent Movers,12,Reason for Moving,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro",PUF,"Flag indicating what forced the respondent, who moved in last two years, to move",HOUSEHOLD,Character,JMOVWHY,Coming soon,"1: Forced to move due to landlord, bank or other financial institution, or the government||2: Forced to move because of natural disaster or fire||N or -6: Not applicable",Were you forced to move because of a disaster or fire?,MOVDISAS,None,INTSTATUS = '1' and ((([year of survey] - 2) < MOVE) or ((([year of survey] - 2) = MOVE) and [month of survey] <= MOVM)) and RESPONDENT = '1' and MOVFORCE = '1',
RMJOB,3,Recent Movers,12,Reason for Moving,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,"Flag indicating respondent, who moved in last two years, moved for job",HOUSEHOLD,Character,JRMJOB,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,Did you choose to move for a new job or job transfer?,WMJOB,None,INTSTATUS = '1' and ((([year of survey] - 2) < MOVE) or ((([year of survey] - 2) = MOVE) and [month of survey] <= MOVM)) and RESPONDENT = '1' and MOVFORCE <> '1',
RMOWNHH,4,Recent Movers,12,Reason for Moving,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,"Flag indicating respondent, who moved in last two years, moved to form household",HOUSEHOLD,Character,JRMOWNHH,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,Did you choose to move to form your own household?,WMONWHH,None,INTSTATUS = '1' and ((([year of survey] - 2) < MOVE) or ((([year of survey] - 2) = MOVE) and [month of survey] <= MOVM)) and RESPONDENT = '1' and MOVFORCE <> '1',
RMFAMILY,5,Recent Movers,12,Reason for Moving,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,"Flag indicating respondent, who moved in last two years, moved for family",HOUSEHOLD,Character,JRMFAMILY,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,"Did you choose to move to be closer to family, including for health reasons, economic reasons, or for any other reasons?",WMFAMILY,None,INTSTATUS = '1' and ((([year of survey] - 2) < MOVE) or ((([year of survey] - 2) = MOVE) and [month of survey] <= MOVM)) and RESPONDENT = '1' and MOVFORCE <> '1',
RMCHANGE,6,Recent Movers,12,Reason for Moving,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,"Flag indicating respondent, who moved in last two years, moved because of change in household",HOUSEHOLD,Character,JRMCHANGE,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,"Did you choose to move because of a change in household or family size, including marriage, divorce, separation, or child birth or adoption?",WMCHANGE,None,INTSTATUS = '1' and ((([year of survey] - 2) < MOVE) or ((([year of survey] - 2) = MOVE) and [month of survey] <= MOVM)) and RESPONDENT = '1' and MOVFORCE <> '1',
RMCOMMUTE,7,Recent Movers,12,Reason for Moving,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,"Flag indicating respondent, who moved in last two years, moved to reduce commute",HOUSEHOLD,Character,JRMCOMMUTE,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,Did you choose to move to reduce commuting time?,WMCOMMUTE,None,INTSTATUS = '1' and ((([year of survey] - 2) < MOVE) or ((([year of survey] - 2) = MOVE) and [month of survey] <= MOVM)) and RESPONDENT = '1' and MOVFORCE <> '1',
RMHOME,8,Recent Movers,12,Reason for Moving,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,"Flag indicating respondent, who moved in last two years, moved for better home",HOUSEHOLD,Character,JRMHOME,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,Did you choose to move to upgrade to a larger home or a better quality home?,WMHOME,None,INTSTATUS = '1' and ((([year of survey] - 2) < MOVE) or ((([year of survey] - 2) = MOVE) and [month of survey] <= MOVM)) and RESPONDENT = '1' and MOVFORCE <> '1',
RMCOSTS,9,Recent Movers,12,Reason for Moving,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,"Flag indicating respondent, who moved in last two years, moved to reduce housing costs",HOUSEHOLD,Character,JRMCOSTS,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,Did you choose to move to reduce your housing costs?,WMCOSTS,None,INTSTATUS = '1' and ((([year of survey] - 2) < MOVE) or ((([year of survey] - 2) = MOVE) and [month of survey] <= MOVM)) and RESPONDENT = '1' and MOVFORCE <> '1',
RMHOOD,10,Recent Movers,12,Reason for Moving,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,"Flag indicating respondent, who moved in last two years, moved to be in more desirable neighborhood",HOUSEHOLD,Character,JRMHOOD,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,Did you choose to move to be in a more desirable neighborhood?,WMHOOD,None,INTSTATUS = '1' and ((([year of survey] - 2) < MOVE) or ((([year of survey] - 2) = MOVE) and [month of survey] <= MOVM)) and RESPONDENT = '1' and MOVFORCE <> '1',
RMOTHER,11,Recent Movers,12,Reason for Moving,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,"Flag indicating respondent, who moved in last two years, moved for another reason",HOUSEHOLD,Character,JRMOTHER,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,Did you choose to move for some other reason?,WMOTHER,None,INTSTATUS = '1' and ((([year of survey] - 2) < MOVE) or ((([year of survey] - 2) = MOVE) and [month of survey] <= MOVM)) and RESPONDENT = '1' and MOVFORCE <> '1',
SEARCHFAM,1,Recent Movers,12,Housing Search,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,"Flag indicating respondent, who moved in last two years, found home through family, friends, or other word of mouth",HOUSEHOLD,Character,JSEARCHFAM,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,"Did you find your home through family, friends, or other word of mouth?",HEARHSFAM,None,INTSTATUS = '1' and ((([year of survey] - 2) < MOVE) or ((([year of survey] - 2) = MOVE) and [month of survey] <= MOVM)) and RESPONDENT = '1',
SEARCHNET,2,Recent Movers,12,Housing Search,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,"Flag indicating respondent, who moved in last two years, found home through the Internet",HOUSEHOLD,Character,JSEARCHNET,Coming soon,1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable,"Did you find your home on an internet site (such as Craig's List, apartment.com, realtor.com, or Zillow)?",HEARHSNET,None,INTSTATUS = '1' and ((([year of survey] - 2) < MOVE) or ((([year of survey] - 2) = MOVE) and [month of survey] <= MOVM)) and RESPONDENT = '1',
